epoch;t;section;numPigs;weight;growth;sd;opt;totalCull;cycleNum;truckNum
0;0;0;360;26.4;5;3;0;0;0;0
0;0;1;360;26.4;5.8;3;0;0;0;0
0;0;2;360;26.4;6.6;3;0;0;0;0
1;1;0;360;31.3;4.96;3.15;0;0;0;0
1;1;1;360;31.6;5.84;3.2;0;0;0;0
1;1;2;360;33;6.68;3.25;0;0;0;0
2;2;0;360;36;4.88;3.65;0;0;0;0
2;2;1;360;36.9;5.88;3.65;0;0;0;0
2;2;2;360;39.5;6.6;3.65;0;0;0;0
3;3;0;360;41.1;4.88;4.15;0;0;0;0
3;3;1;360;43.4;5.88;4.1;0;0;0;0
3;3;2;360;46.4;6.68;4.15;0;0;0;0
4;4;0;360;46;5;4.65;0;0;0;0
4;4;1;360;48.9;5.8;4.6;0;0;0;0
4;4;2;360;53.8;6.64;4.65;0;0;0;0
5;5;0;360;51;5.08;5.15;0;0;0;0
5;5;1;360;54.7;5.92;5.1;0;0;0;0
5;5;2;360;60.1;6.64;5.15;0;0;0;0
6;6;0;360;56.1;5.12;5.65;0;0;0;0
6;6;1;360;60.2;6;5.6;0;0;0;0
6;6;2;360;66.2;6.64;5.65;0;0;0;0
7;7;0;360;61.6;5.04;6.15;0;0;0;0
7;7;1;360;66.3;6.08;6.1;0;0;0;0
7;7;2;360;72.5;6.72;6.15;0;0;0;0
8;8;0;360;67.6;5.12;6.7;91;410;0;2
8;8;1;360;72.8;6.12;6.75;134;410;0;2
8;8;2;360;78.9;6.44;6.75;185;410;0;2
9;9;0;269;73.3;5.2;7.2;56;192;0;1
9;9;1;226;78.9;6.28;7.3;68;192;0;1
9;9;2;175;85.4;6.36;7.3;68;192;0;1
10;10;0;213;79.8;5.12;7.7;66;142;0;1
10;10;1;158;85.2;6.4;7.8;44;142;0;1
10;10;2;107;91.7;6.44;7.9;32;142;0;1
11;11;0;147;86.3;4.96;8.25;0;0;0;0
11;11;1;114;92.1;6.4;8.3;0;0;0;0
11;11;2;75;98.4;6.44;8.5;0;0;0;0
12;12;0;147;92.4;5.08;8.85;58;163;0;1
12;12;1;114;99.1;6.32;8.95;58;163;0;1
12;12;2;75;105.6;6.44;9.05;47;163;0;1
13;13;0;89;98.6;5.2;9.35;0;0;0;0
13;13;1;56;105.8;6.32;9.45;0;0;0;0
13;13;2;28;112.3;6.56;9.6;0;0;0;0
14;14;0;89;105.4;5.28;9.85;89;173;0;1
14;14;1;56;112.4;6.24;10.05;56;173;0;1
14;14;2;28;118.2;6.6;10.1;28;173;0;1
15;0;0;360;26.4;5;3;0;0;1;0
15;0;1;360;26.4;5.8;3;0;0;1;0
15;0;2;360;26.4;6.6;3;0;0;1;0
16;1;0;360;31.1;5.12;3.4;0;0;1;0
16;1;1;360;31.5;5.84;3.25;0;0;1;0
16;1;2;360;32.9;6.64;3.15;0;0;1;0
17;2;0;360;35.7;5.04;3.65;0;0;1;0
17;2;1;360;37.2;5.76;3.6;0;0;1;0
17;2;2;360;39.5;6.68;3.5;0;0;1;0
18;3;0;360;41.1;4.96;4;0;0;1;0
18;3;1;360;42.7;5.76;4.1;0;0;1;0
18;3;2;360;46.6;6.6;3.95;0;0;1;0
19;4;0;360;45.6;5.04;4.5;0;0;1;0
19;4;1;360;48;5.88;4.6;0;0;1;0
19;4;2;360;53.5;6.56;4.45;0;0;1;0
20;5;0;360;50.6;5.04;5;0;0;1;0
20;5;1;360;54.4;5.84;5.1;0;0;1;0
20;5;2;360;60.4;6.56;4.95;0;0;1;0
21;6;0;360;55.7;5.08;5.5;0;0;1;0
21;6;1;360;60;5.88;5.6;0;0;1;0
21;6;2;360;67.1;6.56;5.45;0;0;1;0
22;7;0;360;61;5.16;6;0;0;1;0
22;7;1;360;66.1;5.88;6.1;0;0;1;0
22;7;2;360;73.5;6.64;5.95;0;0;1;0
23;8;0;360;67;5.08;6.6;82;410;1;2
23;8;1;360;72.2;5.68;6.65;134;410;1;2
23;8;2;360;79.8;6.72;6.5;194;410;1;2
24;9;0;278;73;5.24;7.2;65;203;1;1
24;9;1;226;78.1;5.48;7.25;67;203;1;1
24;9;2;167;86.8;6.76;7;71;203;1;1
25;10;0;213;79.5;5.24;7.8;64;133;1;1
25;10;1;159;83.8;5.52;7.8;33;133;1;1
25;10;2;96;93.6;6.76;7.55;36;133;1;1
26;11;0;149;85.8;5.28;8.4;0;0;1;0
26;11;1;126;89.8;5.56;8.35;0;0;1;0
26;11;2;60;100.6;6.76;8.05;0;0;1;0
27;12;0;149;92.5;5.4;9;64;183;1;1
27;12;1;126;96.6;5.72;8.9;59;183;1;1
27;12;2;60;106.7;6.64;8.55;60;183;1;1
28;13;0;85;99.1;5.44;9.55;0;0;1;0
28;13;1;67;103.3;5.8;9.45;0;0;1;0
28;0;2;360;26.4;6.6;3;0;0;2;0
29;14;0;85;105.6;5.44;10.15;85;152;1;1
29;14;1;67;110.1;5.92;9.95;67;152;1;1
29;1;2;360;32.7;6.68;3.05;0;152;2;1
30;0;0;360;26.4;5;3;0;0;2;0
30;0;1;360;26.4;5.8;3;0;0;2;0
30;2;2;360;39.8;6.72;3.35;0;0;2;0
31;1;0;360;31.5;5.08;3.1;0;0;2;0
31;1;1;360;31.9;5.76;3.3;0;0;2;0
31;3;2;360;47;6.68;3.85;0;0;2;0
32;2;0;360;36.6;5.32;3.45;0;0;2;0
32;2;1;360;37.7;5.84;3.8;0;0;2;0
32;4;2;360;53.5;6.8;4.35;0;0;2;0
33;3;0;360;42.4;5.28;3.85;0;0;2;0
33;3;1;360;43.2;5.76;4.25;0;0;2;0
33;5;2;360;60.5;6.84;4.85;0;0;2;0
34;4;0;360;48;5.28;4.35;0;0;2;0
34;4;1;360;49.2;5.84;4.75;0;0;2;0
34;6;2;360;67.3;6.84;5.35;0;0;2;0
35;5;0;360;53.5;5.32;4.85;0;0;2;0
35;5;1;360;55.7;5.84;5.25;0;0;2;0
35;7;2;360;73.7;6.92;5.85;0;0;2;0
36;6;0;360;58;5.32;5.35;0;205;2;1
36;6;1;360;61.6;5.92;5.75;0;205;2;1
36;8;2;360;80.4;6.84;6.5;205;205;2;1
37;7;0;360;63.6;5.28;5.85;0;0;2;0
37;7;1;360;68.1;5.84;6.25;0;0;2;0
37;9;2;155;87.3;6.76;7.1;0;0;2;0
38;8;0;360;69.1;5.28;6.45;119;377;2;2
38;8;1;360;73.4;5.8;7;162;377;2;2
38;10;2;155;94.1;6.72;7.7;96;377;2;2
39;9;0;241;75.1;5.44;7;51;120;2;1
39;9;1;198;79.3;5.88;7.8;49;120;2;1
39;11;2;59;101;6.76;8.25;20;120;2;1
40;10;0;190;81;5.64;7.6;43;95;2;1
40;10;1;149;85.7;5.88;8.55;37;95;2;1
40;12;2;39;108.2;6.68;8.8;15;95;2;1
41;11;0;147;87;5.68;8.2;0;0;2;0
41;11;1;112;91.3;6;9.25;0;0;2;0
41;13;2;24;115.2;6.64;9.35;0;0;2;0
42;12;0;147;93.6;5.68;8.8;69;141;2;1
42;12;1;112;97.9;5.92;10.05;48;141;2;1
42;14;2;24;122.4;6.6;9.9;24;141;2;1
43;13;0;78;100.1;5.68;9.35;0;0;2;0
43;13;1;64;104;5.88;10.75;0;0;2;0
43;0;2;360;26.4;6.6;3;0;0;3;0
44;14;0;78;106.6;5.68;9.9;78;142;2;1
44;14;1;64;110.6;5.96;11.35;64;142;2;1
44;1;2;360;32.7;6.6;3.4;0;142;3;1
45;0;0;360;26.4;5;3;0;0;3;0
45;0;1;360;26.4;5.8;3;0;0;3;0
45;2;2;360;39.8;6.52;3.75;0;0;3;0
46;1;0;360;31.2;5.16;3.1;0;0;3;0
46;1;1;360;32.3;5.76;3.1;0;0;3;0
46;3;2;360;46.2;6.52;4.2;0;0;3;0
47;2;0;360;36.5;5.16;3.45;0;0;3;0
47;2;1;360;38.4;5.64;3.35;0;0;3;0
47;4;2;360;52.8;6.56;4.6;0;0;3;0
48;3;0;360;40.8;5.24;3.95;0;0;3;0
48;3;1;360;44.1;5.64;3.8;0;0;3;0
48;5;2;360;59.2;6.6;5.1;0;0;3;0
49;4;0;360;46.3;5.32;4.45;0;0;3;0
49;4;1;360;49.7;5.56;4.3;0;0;3;0
49;6;2;360;66;6.56;5.6;0;0;3;0
50;5;0;360;52.4;5.24;4.95;0;0;3;0
50;5;1;360;55.7;5.52;4.8;0;0;3;0
50;7;2;360;72.8;6.56;6.1;0;0;3;0
51;6;0;360;57.9;5.28;5.45;0;205;3;1
51;6;1;360;61;5.56;5.3;0;205;3;1
51;8;2;360;79.6;6.4;6.8;205;205;3;1
52;7;0;360;63.7;5.24;5.95;0;0;3;0
52;7;1;360;66.8;5.52;5.8;0;0;3;0
52;9;2;155;85.9;6.44;7.5;0;0;3;0
53;8;0;360;69;5.32;6.65;119;346;3;2
53;8;1;360;71.9;5.6;6.45;147;346;3;2
53;10;2;155;92;6.48;8.2;80;346;3;2
54;9;0;241;75.3;5.28;7.25;55;118;3;1
54;9;1;213;77.7;5.64;7;38;118;3;1
54;11;2;75;98.8;6.48;8.75;25;118;3;1
55;10;0;186;81.6;5.44;7.95;42;109;3;1
55;10;1;175;83.5;5.56;7.55;48;109;3;1
55;12;2;50;106.2;6.44;9.35;19;109;3;1
56;11;0;144;88.2;5.52;8.65;0;0;3;0
56;11;1;127;89.7;5.64;8.1;0;0;3;0
56;13;2;31;112.7;6.28;9.95;0;0;3;0
57;12;0;144;95.4;5.52;9.25;70;161;3;1
57;12;1;127;96.2;5.76;8.65;60;161;3;1
57;14;2;31;119.1;6.24;10.55;31;161;3;1
58;13;0;74;101.8;5.72;9.8;0;0;3;0
58;13;1;67;102.9;5.76;9.2;0;0;3;0
58;0;2;360;26.4;6.6;3;0;0;4;0
59;14;0;74;108.6;5.72;10.5;74;141;3;1
59;14;1;67;109.7;5.88;9.75;67;141;3;1
59;1;2;360;32.5;6.64;3.1;0;141;4;1
60;0;0;360;26.4;5;3;0;0;4;0
60;0;1;360;26.4;5.8;3;0;0;4;0
60;2;2;360;39;6.56;3.4;0;0;4;0
61;1;0;360;31.1;5.08;3.15;0;0;4;0
61;1;1;360;31.9;5.76;2.95;0;0;4;0
61;3;2;360;45.3;6.44;3.9;0;0;4;0
62;2;0;360;36.1;5;3.6;0;0;4;0
62;2;1;360;37.7;5.8;3.35;0;0;4;0
62;4;2;360;51.8;6.56;4.4;0;0;4;0
63;3;0;360;41;5.12;3.95;0;0;4;0
63;3;1;360;43.8;5.72;3.85;0;0;4;0
63;5;2;360;58.5;6.64;4.9;0;0;4;0
64;4;0;360;46.4;5.24;4.45;0;0;4;0
64;4;1;360;48.7;5.72;4.35;0;0;4;0
64;6;2;360;64.8;6.72;5.4;0;0;4;0
65;5;0;360;52.1;5.32;4.95;0;0;4;0
65;5;1;360;54.5;5.6;4.85;0;0;4;0
65;7;2;360;71.7;6.72;5.9;0;0;4;0
66;6;0;360;57.6;5.2;5.45;0;201;4;1
66;6;1;360;60;5.6;5.35;0;201;4;1
66;8;2;360;78.6;6.76;6.6;201;201;4;1
67;7;0;360;63.4;5.24;5.95;0;0;4;0
67;7;1;360;65.5;5.6;5.85;0;0;4;0
67;9;2;159;85.8;6.72;7.2;0;0;4;0
68;8;0;360;68.8;5.08;6.6;115;345;4;2
68;8;1;360;71.1;5.6;6.5;141;345;4;2
68;10;2;159;92.3;6.6;7.75;89;345;4;2
69;9;0;245;74.2;5.2;7.1;39;112;4;1
69;9;1;219;76.8;5.68;7.1;52;112;4;1
69;11;2;70;98.4;6.52;8.35;21;112;4;1
70;10;0;206;80.3;5.28;7.75;56;116;4;1
70;10;1;167;83.1;5.76;7.65;42;116;4;1
70;12;2;49;105;6.52;8.95;18;116;4;1
71;11;0;150;86;5.36;8.25;0;0;4;0
71;11;1;125;89.2;5.68;8.3;0;0;4;0
71;13;2;31;111.1;6.32;9.55;0;0;4;0
72;12;0;150;93;5.52;8.75;63;149;4;1
72;12;1;125;95.3;5.76;8.85;55;149;4;1
72;14;2;31;117.8;6.28;10.15;31;149;4;1
73;13;0;87;100.2;5.44;9.4;0;0;4;0
73;13;1;70;101.5;5.8;9.45;0;0;4;0
73;0;2;360;26.4;6.6;3;0;0;5;0
74;14;0;87;107.1;5.56;9.9;87;157;4;1
74;14;1;70;107.9;5.72;10.05;70;157;4;1
74;1;2;360;33.1;6.68;3.2;0;157;5;1
75;0;0;360;26.4;5;3;0;0;5;0
75;0;1;360;26.4;5.8;3;0;0;5;0
75;2;2;360;40;6.64;3.65;0;0;5;0
76;1;0;360;30.9;5.16;3.1;0;0;5;0
76;1;1;360;32.5;5.92;3.05;0;0;5;0
76;3;2;360;46.1;6.56;4.15;0;0;5;0
77;2;0;360;36.2;5.08;3.35;0;0;5;0
77;2;1;360;38.2;6;3.4;0;0;5;0
77;4;2;360;52;6.4;4.6;0;0;5;0
78;3;0;360;40.9;5;3.8;0;0;5;0
78;3;1;360;44;5.92;3.9;0;0;5;0
78;5;2;360;58.9;6.4;5.1;0;0;5;0
79;4;0;360;46;4.88;4.3;0;0;5;0
79;4;1;360;50.3;5.84;4.4;0;0;5;0
79;6;2;360;65.5;6.4;5.6;0;0;5;0
80;5;0;360;51;5;4.8;0;0;5;0
80;5;1;360;56.5;5.68;4.9;0;0;5;0
80;7;2;360;71.6;6.36;6.1;0;0;5;0
81;6;0;360;55.9;5.08;5.3;0;203;5;1
81;6;1;360;62.2;5.56;5.4;0;203;5;1
81;8;2;360;77.5;6.32;6.75;203;203;5;1
82;7;0;360;61;5.08;5.8;0;0;5;0
82;7;1;360;67.7;5.6;5.9;0;0;5;0
82;9;2;157;83.6;6.36;7.4;0;0;5;0
83;8;0;360;66.1;5.16;6.45;51;205;5;1
83;8;1;360;73;5.64;6.4;116;205;5;1
83;10;2;157;89.8;6.4;8.05;38;205;5;1
84;9;0;309;72.2;5.16;7;72;205;5;1
84;9;1;244;78.6;5.64;7;82;205;5;1
84;11;2;119;96.3;6.4;8.65;51;205;5;1
85;10;0;237;79;5.16;7.55;75;144;5;1
85;10;1;162;84.3;5.68;7.55;44;144;5;1
85;12;2;68;102.9;6.48;9.25;25;144;5;1
86;11;0;162;85.5;5.2;8.15;0;0;5;0
86;11;1;118;90.1;5.72;8.05;0;0;5;0
86;13;2;43;109.5;6.4;9.85;0;0;5;0
87;12;0;162;92.3;5.24;8.75;73;166;5;1
87;12;1;118;95.8;5.68;8.65;50;166;5;1
87;14;2;43;116.3;6.4;10.45;43;166;5;1
88;13;0;89;99.2;5.44;9.3;0;0;5;0
88;13;1;68;102.1;5.6;9.2;0;0;5;0
88;0;2;360;26.4;6.6;3;0;0;6;0
89;14;0;89;106;5.68;9.85;89;157;5;1
89;14;1;68;108.7;5.44;9.7;68;157;5;1
89;1;2;360;33.1;6.52;3.15;0;157;6;1
90;0;0;360;26.4;5;3;0;0;6;0
90;0;1;360;26.4;5.8;3;0;0;6;0
90;2;2;360;39.5;6.52;3.5;0;0;6;0
91;1;0;360;31.2;4.92;3.05;0;0;6;0
91;1;1;360;32;5.88;3.2;0;0;6;0
91;3;2;360;45.8;6.44;3.95;0;0;6;0
92;2;0;360;36.2;4.96;3.4;0;0;6;0
92;2;1;360;38.8;5.88;3.65;0;0;6;0
92;4;2;360;51.6;6.44;4.45;0;0;6;0
93;3;0;360;41.1;5.04;3.75;0;0;6;0
93;3;1;360;44.3;5.84;4.1;0;0;6;0
93;5;2;360;57.6;6.52;4.95;0;0;6;0
94;4;0;360;46.6;5.04;4.25;0;0;6;0
94;4;1;360;49.9;5.72;4.6;0;0;6;0
94;6;2;360;63.5;6.56;5.45;0;0;6;0
95;5;0;360;51.8;5.12;4.75;0;0;6;0
95;5;1;360;55.4;5.68;5.1;0;0;6;0
95;7;2;360;70.1;6.6;5.95;0;0;6;0
96;6;0;360;57.3;5.08;5.25;0;185;6;1
96;6;1;360;61.3;5.68;5.6;0;185;6;1
96;8;2;360;76.4;6.64;6.45;185;185;6;1
97;7;0;360;62.1;5.24;5.75;0;0;6;0
97;7;1;360;66.7;5.6;6.1;0;0;6;0
97;9;2;175;82.6;6.64;6.95;0;0;6;0
98;8;0;360;67.6;5.16;6.35;97;350;6;2
98;8;1;360;72.3;5.64;6.75;156;350;6;2
98;10;2;175;90.3;6.6;7.5;97;350;6;2
99;9;0;263;73.2;5.28;6.85;47;119;6;1
99;9;1;204;77.7;5.6;7.5;45;119;6;1
99;11;2;78;96.7;6.56;8.05;27;119;6;1
100;10;0;216;78.9;5.4;7.35;50;109;6;1
100;10;1;159;83.6;5.56;8.15;39;109;6;1
100;12;2;51;103.9;6.48;8.6;20;109;6;1
101;11;0;166;85.3;5.4;7.85;41;99;6;1
101;11;1;120;89.1;5.48;8.8;27;99;6;1
101;13;2;31;110.3;6.4;9.15;31;99;6;1
102;12;0;125;92.3;5.44;8.35;0;0;6;0
102;12;1;93;95.2;5.4;9.5;0;0;6;0
102;0;2;360;26.4;6.6;3;0;0;7;0
103;13;0;125;99.2;5.36;8.85;71;111;6;1
103;13;1;93;101.2;5.4;10.2;40;111;6;1
103;1;2;360;32.9;6.6;3.05;0;111;7;1
104;14;0;54;106.1;5.44;9.35;54;107;6;1
104;14;1;53;107.7;5.48;10.85;53;107;6;1
104;2;2;360;39.6;6.52;3.55;0;107;7;1
105;0;0;360;26.4;5;3;0;0;7;0
105;0;1;360;26.4;5.8;3;0;0;7;0
105;3;2;360;46.5;6.52;3.9;0;0;7;0
106;1;0;360;31.2;4.96;3.25;0;0;7;0
106;1;1;360;32.4;5.88;3.4;0;0;7;0
106;4;2;360;52.4;6.52;4.4;0;0;7;0
107;2;0;360;35.5;4.88;3.65;0;0;7;0
107;2;1;360;38.2;5.92;3.75;0;0;7;0
107;5;2;360;59.1;6.52;4.9;0;0;7;0
108;3;0;360;40.1;5;4.15;0;0;7;0
108;3;1;360;44.2;5.96;4.2;0;0;7;0
108;6;2;360;65.6;6.52;5.4;0;0;7;0
109;4;0;360;45.1;5.04;4.65;0;0;7;0
109;4;1;360;49.7;6;4.65;0;0;7;0
109;7;2;360;72.8;6.64;5.9;0;0;7;0
110;5;0;360;50.5;4.96;5.15;0;205;7;1
110;5;1;360;55.6;6;5.15;0;205;7;1
110;8;2;360;78.7;6.68;6.45;205;205;7;1
111;6;0;360;55.6;4.88;5.65;0;0;7;0
111;6;1;360;61.8;5.96;5.65;0;0;7;0
111;9;2;155;85;6.76;7;0;0;7;0
112;7;0;360;60.9;5;6.15;0;75;7;1
112;7;1;360;67.9;5.88;6.15;0;75;7;1
112;10;2;155;91;6.56;7.5;75;75;7;1
113;8;0;360;66.8;5;6.85;73;205;7;1
113;8;1;360;73.6;6;6.85;129;205;7;1
113;11;2;80;97.1;6.64;8;3;205;7;1
114;9;0;288;73.1;5.08;7.45;72;187;7;1
114;9;1;231;79.2;6;7.45;75;187;7;1
114;12;2;77;104.1;6.6;8.55;40;187;7;1
115;10;0;216;79.1;5.2;8.05;53;129;7;1
115;10;1;156;85.3;5.96;8.1;39;129;7;1
115;13;2;37;111.3;6.76;9.1;37;129;7;1
116;11;0;163;85.7;5.24;8.65;0;0;7;0
116;11;1;117;91.6;6;8.65;0;0;7;0
116;0;2;360;26.4;6.6;3;0;0;8;0
117;12;0;163;92.7;5.24;9.2;74;134;7;1
117;12;1;117;98.9;6.04;9.3;60;134;7;1
117;1;2;360;33.1;6.56;3.3;0;134;8;1
118;13;0;89;99.5;5.2;9.75;0;0;7;0
118;13;1;57;105.2;6;9.85;0;0;7;0
118;2;2;360;40.3;6.56;3.55;0;0;8;0
119;14;0;89;106.5;5.32;10.3;89;146;7;1
119;14;1;57;112.3;6.08;10.4;57;146;7;1
119;3;2;360;47.2;6.52;4;0;146;8;1
