epoch;t;section;numPigs;weight;growth;sd;opt;totalCull;cycleNum;truckNum
0;0;0;360;26.4;5;3;0;0;0;0
0;0;1;360;26.4;5.8;3;0;0;0;0
0;0;2;360;26.4;6.6;3;0;0;0;0
1;1;0;360;31.3;4.96;3.15;0;0;0;0
1;1;1;360;31.6;5.84;3.2;0;0;0;0
1;1;2;360;33;6.68;3.25;0;0;0;0
2;2;0;360;36;4.88;3.65;0;0;0;0
2;2;1;360;36.9;5.88;3.65;0;0;0;0
2;2;2;360;39.5;6.6;3.65;0;0;0;0
3;3;0;360;41.1;4.88;4.15;0;0;0;0
3;3;1;360;43.4;5.88;4.1;0;0;0;0
3;3;2;360;46.4;6.68;4.15;0;0;0;0
4;4;0;360;46;5;4.65;0;0;0;0
4;4;1;360;48.9;5.8;4.6;0;0;0;0
4;4;2;360;53.8;6.64;4.65;0;0;0;0
5;5;0;360;51;5.08;5.15;0;0;0;0
5;5;1;360;54.7;5.92;5.1;0;0;0;0
5;5;2;360;60.1;6.64;5.15;0;0;0;0
6;6;0;360;56.1;5.12;5.65;0;0;0;0
6;6;1;360;60.2;6;5.6;0;0;0;0
6;6;2;360;66.2;6.64;5.65;0;0;0;0
7;7;0;360;61.6;5.04;6.15;0;0;0;0
7;7;1;360;66.3;6.08;6.1;0;0;0;0
7;7;2;360;72.5;6.72;6.15;0;0;0;0
8;8;0;360;67.6;5.12;6.7;90;410;0;2
8;8;1;360;72.8;6.12;6.75;134;410;0;2
8;8;2;360;78.9;6.44;6.75;186;410;0;2
9;9;0;270;73.3;5.2;7.2;52;177;0;1
9;9;1;226;78.9;6.28;7.3;63;177;0;1
9;9;2;175;85.4;6.36;7.3;62;177;0;1
10;10;0;218;79.8;5.12;7.7;57;125;0;1
10;10;1;163;85.2;6.4;7.8;36;125;0;1
10;10;2;113;91.7;6.44;7.9;32;125;0;1
11;11;0;161;86.3;4.96;8.25;43;166;0;1
11;11;1;127;92.1;6.4;8.3;42;166;0;1
11;11;2;81;98.4;6.44;8.5;81;166;0;1
12;12;0;118;92.4;5.08;8.85;29;114;0;1
12;12;1;85;99.1;6.32;8.95;85;114;0;1
12;0;2;360;26.4;6.6;3;0;114;1;1
13;13;0;89;99.1;5.16;9.4;89;89;0;1
13;0;1;360;26.4;6.6;3;0;89;1;1
13;1;2;360;32.7;6.72;3.1;0;89;1;1
14;0;0;360;26.4;6.6;3;0;0;1;0
14;1;1;360;32.8;6.56;3.25;0;0;1;0
14;2;2;360;40;6.84;3.55;0;0;1;0
15;1;0;360;32.8;6.68;3.1;0;0;1;0
15;2;1;360;39.4;6.52;3.6;0;0;1;0
15;3;2;360;46.1;6.88;4.05;0;0;1;0
16;2;0;360;39.4;6.8;3.55;0;0;1;0
16;3;1;360;45.2;6.56;4.05;0;0;1;0
16;4;2;360;53.1;6.92;4.55;0;0;1;0
17;3;0;360;45.7;6.72;4.05;0;0;1;0
17;4;1;360;51.9;6.48;4.55;0;0;1;0
17;5;2;360;60;6.92;5.05;0;0;1;0
18;4;0;360;52.6;6.6;4.55;0;0;1;0
18;5;1;360;58;6.48;5.05;0;0;1;0
18;6;2;360;67.2;6.8;5.55;0;0;1;0
19;5;0;360;58.5;6.6;5.05;0;0;1;0
19;6;1;360;64;6.56;5.55;0;0;1;0
19;7;2;360;74.3;6.76;6.05;0;0;1;0
20;6;0;360;65.2;6.56;5.55;0;205;1;1
20;7;1;360;71.1;6.48;6.05;0;205;1;1
20;8;2;360;81.3;6.76;6.7;205;205;1;1
21;7;0;360;71.4;6.6;6.05;0;205;1;1
21;8;1;360;77.4;6.52;6.8;165;205;1;1
21;9;2;155;88.3;6.76;7.3;40;205;1;1
22;8;0;360;78.6;6.6;6.65;195;382;1;2
22;9;1;195;84;6.48;7.5;72;382;1;2
22;10;2;115;95.1;6.8;7.9;115;382;1;2
23;9;0;165;85.4;6.52;7.25;53;88;1;1
23;10;1;123;90.7;6.32;8;35;88;1;1
23;0;2;360;26.4;6.6;3;0;88;2;1
24;10;0;112;91.3;6.64;7.85;30;52;1;1
24;11;1;88;97.7;6.44;8.65;22;52;1;1
24;1;2;360;33.2;6.4;3.15;0;52;2;1
25;11;0;82;97.9;6.68;8.45;82;148;1;1
25;12;1;66;104.9;6.44;9.15;66;148;1;1
25;2;2;360;39.5;6.44;3.6;0;148;2;1
26;0;0;360;26.4;6.6;3;0;0;2;0
26;0;1;360;26.4;6.6;3;0;0;2;0
26;3;2;360;45.9;6.44;4.1;0;0;2;0
27;1;0;360;33.4;6.64;3.3;0;0;2;0
27;1;1;360;32.7;6.6;2.9;0;0;2;0
27;4;2;360;52.4;6.44;4.55;0;0;2;0
28;2;0;360;41;6.68;3.65;0;0;2;0
28;2;1;360;39.5;6.72;3.3;0;0;2;0
28;5;2;360;58.2;6.32;5.05;0;0;2;0
29;3;0;360;48.2;6.72;4.15;0;0;2;0
29;3;1;360;46.4;6.76;3.75;0;0;2;0
29;6;2;360;64.3;6.28;5.55;0;0;2;0
30;4;0;360;54.9;6.84;4.6;0;0;2;0
30;4;1;360;52.8;6.8;4.25;0;0;2;0
30;7;2;360;70.9;6.32;6.05;0;0;2;0
31;5;0;360;61.5;6.92;5.1;0;197;2;1
31;5;1;360;59.2;6.76;4.75;0;197;2;1
31;8;2;360;78;6.28;6.65;197;197;2;1
32;6;0;360;68.4;7.08;5.6;0;38;2;1
32;6;1;360;66;6.84;5.25;0;38;2;1
32;9;2;163;84.1;6.4;7.25;38;38;2;1
33;7;0;360;75.9;7.04;6.1;0;37;2;1
33;7;1;360;72.4;6.72;5.75;0;37;2;1
33;10;2;125;90.9;6.48;7.9;37;37;2;1
34;8;0;360;83.3;7;6.7;235;524;2;3
34;8;1;360;79.3;6.8;6.25;201;524;2;3
34;11;2;88;97.7;6.48;8.45;88;524;2;3
35;9;0;125;90.4;7;7.2;42;100;2;1
35;9;1;159;86.7;6.8;6.8;58;100;2;1
35;0;2;360;26.4;6.6;3;0;100;3;1
36;10;0;83;97.2;7.04;7.75;83;114;2;1
36;10;1;101;92.6;6.8;7.4;31;114;2;1
36;1;2;360;33;6.68;3.1;0;114;3;1
37;0;0;360;26.4;6.6;3;0;70;3;1
37;11;1;70;99.2;6.68;7.95;70;70;2;1
37;2;2;360;39.9;6.56;3.55;0;70;3;1
38;1;0;360;33.6;6.52;3.3;0;0;3;0
38;0;1;360;26.4;6.6;3;0;0;3;0
38;3;2;360;46.7;6.48;4;0;0;3;0
39;2;0;360;40.2;6.52;3.6;0;0;3;0
39;1;1;360;32.5;6.56;3.1;0;0;3;0
39;4;2;360;53.1;6.44;4.5;0;0;3;0
40;3;0;360;46.7;6.68;4.05;0;0;3;0
40;2;1;360;38.7;6.64;3.5;0;0;3;0
40;5;2;360;59.6;6.52;5;0;0;3;0
41;4;0;360;53;6.84;4.55;0;0;3;0
41;3;1;360;45.6;6.64;4;0;0;3;0
41;6;2;360;66.5;6.44;5.5;0;0;3;0
42;5;0;360;59.3;6.84;5.05;0;0;3;0
42;4;1;360;51.8;6.76;4.5;0;0;3;0
42;7;2;360;72.9;6.4;6;0;0;3;0
43;6;0;360;66.4;6.8;5.55;0;205;3;1
43;5;1;360;59.1;6.68;5;0;205;3;1
43;8;2;360;79.4;6.36;6.6;205;205;3;1
44;7;0;360;73.2;6.76;6.05;0;46;3;1
44;6;1;360;65.5;6.6;5.5;0;46;3;1
44;9;2;155;85.8;6.32;7.1;46;46;3;1
45;8;0;360;79.8;6.76;6.85;187;205;3;1
45;7;1;360;71.8;6.64;6;0;205;3;1
45;10;2;109;92.6;6.24;7.65;18;205;3;1
46;9;0;173;86.4;6.92;7.4;66;354;3;2
46;8;1;360;78.5;6.6;6.65;197;354;3;2
46;11;2;91;98.7;6.28;8.15;91;354;3;2
47;10;0;107;93.5;6.92;8;31;83;3;1
47;9;1;163;85.5;6.48;7.25;52;83;3;1
47;0;2;360;26.4;6.6;3;0;83;4;1
48;11;0;76;100.5;6.96;8.55;76;106;3;1
48;10;1;111;91.6;6.52;7.8;30;106;3;1
48;1;2;360;33.7;6.6;3.3;0;106;4;1
49;0;0;360;26.4;6.6;3;0;81;4;1
49;11;1;81;98.2;6.52;8.4;81;81;3;1
49;2;2;360;40.3;6.64;3.65;0;81;4;1
50;1;0;360;33;6.52;3.1;0;0;4;0
50;0;1;360;26.4;6.6;3;0;0;4;0
50;3;2;360;47.4;6.6;4.15;0;0;4;0
51;2;0;360;40.5;6.44;3.6;0;0;4;0
51;1;1;360;33.6;6.52;3.25;0;0;4;0
51;4;2;360;54.4;6.64;4.65;0;0;4;0
52;3;0;360;47.1;6.4;4.1;0;0;4;0
52;2;1;360;39.9;6.52;3.55;0;0;4;0
52;5;2;360;61.4;6.52;5.15;0;0;4;0
53;4;0;360;53.9;6.32;4.6;0;0;4;0
53;3;1;360;46.7;6.48;4;0;0;4;0
53;6;2;360;67.6;6.56;5.65;0;0;4;0
54;5;0;360;60.3;6.4;5.1;0;0;4;0
54;4;1;360;52.8;6.52;4.5;0;0;4;0
54;7;2;360;73.9;6.64;6.15;0;0;4;0
55;6;0;360;67.4;6.36;5.6;0;205;4;1
55;5;1;360;59.2;6.48;5;0;205;4;1
55;8;2;360;80.8;6.64;6.75;205;205;4;1
56;7;0;360;73.8;6.48;6.1;0;57;4;1
56;6;1;360;65.2;6.4;5.5;0;57;4;1
56;9;2;155;87.9;6.6;7.4;57;57;4;1
57;8;0;360;80.8;6.52;7;217;315;4;2
57;7;1;360;71.6;6.44;6;0;315;4;2
57;10;2;98;94.5;6.44;8;98;315;4;2
58;9;0;143;88;6.52;7.6;33;205;4;1
58;8;1;360;77.5;6.56;6.65;172;205;4;1
58;0;2;360;26.4;6.6;3;0;205;5;1
59;10;0;110;94.4;6.48;8.3;40;103;4;1
59;9;1;188;83.8;6.72;7.2;63;103;4;1
59;1;2;360;33.1;6.64;3.15;0;103;5;1
60;11;0;70;100.5;6.48;8.95;70;103;4;1
60;10;1;125;90.3;6.84;7.95;33;103;4;1
60;2;2;360;39.2;6.68;3.4;0;103;5;1
61;0;0;360;26.4;6.6;3;0;92;5;1
61;11;1;92;97.2;6.76;8.65;92;92;4;1
61;3;2;360;45.8;6.76;3.9;0;92;5;1
62;1;0;360;32.8;6.56;2.95;0;0;5;0
62;0;1;360;26.4;6.6;3;0;0;5;0
62;4;2;360;52.2;6.64;4.4;0;0;5;0
63;2;0;360;39.2;6.48;3.45;0;0;5;0
63;1;1;360;32.7;6.68;3.25;0;0;5;0
63;5;2;360;58.9;6.76;4.9;0;0;5;0
64;3;0;360;45.5;6.56;3.85;0;0;5;0
64;2;1;360;39.6;6.6;3.75;0;0;5;0
64;6;2;360;65.6;6.8;5.4;0;0;5;0
65;4;0;360;52.1;6.64;4.35;0;0;5;0
65;3;1;360;45.8;6.6;4.2;0;0;5;0
65;7;2;360;72.2;6.88;5.9;0;0;5;0
66;5;0;360;58.8;6.68;4.85;0;197;5;1
66;4;1;360;52.5;6.48;4.7;0;197;5;1
66;8;2;360;79.3;6.88;6.6;197;197;5;1
67;6;0;360;65.5;6.56;5.35;0;58;5;1
67;5;1;360;58.8;6.44;5.2;0;58;5;1
67;9;2;163;86.6;6.92;7.3;58;58;5;1
68;7;0;360;72.2;6.6;5.85;0;105;5;1
68;6;1;360;65.4;6.44;5.7;0;105;5;1
68;10;2;105;94;6.88;7.95;105;105;5;1
69;8;0;360;78.4;6.44;6.5;198;198;5;1
69;7;1;360;71.8;6.4;6.2;0;198;5;1
69;0;2;360;26.4;6.6;3;0;198;6;1
70;9;0;162;84.5;6.36;7.1;27;205;5;1
70;8;1;360;78.2;6.52;6.85;178;205;5;1
70;1;2;360;33;6.68;3.25;0;205;6;1
71;10;0;135;90.5;6.28;7.75;48;112;5;1
71;9;1;182;85;6.6;7.6;64;112;5;1
71;2;2;360;39.7;6.72;3.6;0;112;6;1
72;11;0;87;96.8;6.24;8.35;87;121;5;1
72;10;1;118;91.1;6.64;8.15;34;121;5;1
72;3;2;360;46.2;6.64;4.1;0;121;6;1
73;0;0;360;26.4;6.6;3;0;84;6;1
73;11;1;84;97.6;6.44;8.9;84;84;5;1
73;4;2;360;53.3;6.8;4.55;0;84;6;1
74;1;0;360;33.2;6.68;3.2;0;0;6;0
74;0;1;360;26.4;6.6;3;0;0;6;0
74;5;2;360;60;6.8;5.05;0;0;6;0
75;2;0;360;40.4;6.6;3.65;0;0;6;0
75;1;1;360;32.7;6.64;3.05;0;0;6;0
75;6;2;360;67.6;6.84;5.55;0;0;6;0
76;3;0;360;47.2;6.52;4.1;0;0;6;0
76;2;1;360;39.3;6.72;3.5;0;0;6;0
76;7;2;360;74.6;6.8;6.05;0;0;6;0
77;4;0;360;53.2;6.68;4.6;0;205;6;1
77;3;1;360;46.2;6.84;3.9;0;205;6;1
77;8;2;360;80.6;6.72;6.75;205;205;6;1
78;5;0;360;60.2;6.6;5.1;0;46;6;1
78;4;1;360;52.7;6.92;4.4;0;46;6;1
78;9;2;155;86.5;6.56;7.45;46;46;6;1
79;6;0;360;66.3;6.52;5.6;0;33;6;1
79;5;1;360;59.7;6.84;4.9;0;33;6;1
79;10;2;109;93.4;6.6;8.2;33;33;6;1
80;7;0;360;73;6.36;6.1;0;76;6;1
80;6;1;360;66.7;6.72;5.4;0;76;6;1
80;11;2;76;100.3;6.64;8.9;76;76;6;1
81;8;0;360;79.6;6.44;6.7;205;205;6;1
81;7;1;360;73.6;6.56;5.9;0;205;6;1
81;0;2;360;26.4;6.6;3;0;205;7;1
82;9;0;155;85.7;6.44;7.35;22;205;6;1
82;8;1;360;79.7;6.64;6.6;183;205;6;1
82;1;2;360;33.6;6.48;3.15;0;205;7;1
83;10;0;133;91.6;6.44;7.95;47;120;6;1
83;9;1;177;86.4;6.64;7.15;73;120;6;1
83;2;2;360;40.1;6.52;3.5;0;120;7;1
84;11;0;86;98.1;6.44;8.6;86;114;6;1
84;10;1;104;92.7;6.72;7.75;28;114;6;1
84;3;2;360;46.1;6.56;4;0;114;7;1
85;0;0;360;26.4;6.6;3;0;76;7;1
85;11;1;76;99.4;6.76;8.3;76;76;6;1
85;4;2;360;52.1;6.56;4.5;0;76;7;1
86;1;0;360;32.9;6.6;3.35;0;0;7;0
86;0;1;360;26.4;6.6;3;0;0;7;0
86;5;2;360;58.6;6.6;5;0;0;7;0
87;2;0;360;39.7;6.6;3.55;0;0;7;0
87;1;1;360;32.8;6.6;3.3;0;0;7;0
87;6;2;360;65;6.72;5.5;0;0;7;0
88;3;0;360;46.6;6.64;4;0;0;7;0
88;2;1;360;39.1;6.64;3.65;0;0;7;0
88;7;2;360;71.8;6.64;6;0;0;7;0
89;4;0;360;52.9;6.68;4.45;0;196;7;1
89;3;1;360;45.1;6.6;4.1;0;196;7;1
89;8;2;360;78.4;6.68;6.55;196;196;7;1
90;5;0;360;59.7;6.8;4.95;0;46;7;1
90;4;1;360;51.6;6.52;4.55;0;46;7;1
90;9;2;164;85.1;6.92;7.05;46;46;7;1
91;6;0;360;66.7;6.6;5.45;0;40;7;1
91;5;1;360;58.1;6.44;5.05;0;40;7;1
91;10;2;118;92;6.92;7.65;40;40;7;1
92;7;0;360;73.3;6.52;5.95;0;78;7;1
92;6;1;360;64.8;6.48;5.55;0;78;7;1
92;11;2;78;98.8;6.84;8.15;78;78;7;1
93;8;0;360;79.8;6.48;6.5;205;205;7;1
93;7;1;360;72.3;6.48;6.05;0;205;7;1
93;0;2;360;26.4;6.6;3;0;205;8;1
94;9;0;155;85.7;6.48;7.05;29;205;7;1
94;8;1;360;78.8;6.56;6.65;176;205;7;1
94;1;2;360;32.4;6.56;3.2;0;205;8;1
95;10;0;126;91.7;6.56;7.65;51;122;7;1
95;9;1;184;85.8;6.56;7.3;71;122;7;1
95;2;2;360;38.7;6.44;3.65;0;122;8;1
96;11;0;75;97.6;6.6;8.15;75;113;7;1
96;10;1;113;92.5;6.6;7.8;38;113;7;1
96;3;2;360;45;6.4;4.1;0;113;8;1
97;0;0;360;26.4;6.6;3;0;75;8;1
97;11;1;75;99.2;6.64;8.3;75;75;7;1
97;4;2;360;51.8;6.32;4.55;0;75;8;1
98;1;0;360;33.1;6.6;3.1;0;0;8;0
98;0;1;360;26.4;6.6;3;0;0;8;0
98;5;2;360;57.9;6.4;5;0;0;8;0
99;2;0;360;39.5;6.76;3.5;0;0;8;0
99;1;1;360;32.9;6.52;3.15;0;0;8;0
99;6;2;360;64.1;6.44;5.5;0;0;8;0
100;3;0;360;46.2;6.64;3.95;0;0;8;0
100;2;1;360;39.6;6.56;3.55;0;0;8;0
100;7;2;360;71.4;6.4;6;0;0;8;0
101;4;0;360;52.9;6.76;4.45;0;195;8;1
101;3;1;360;45.9;6.52;4;0;195;8;1
101;8;2;360;77.8;6.32;6.65;195;195;8;1
102;5;0;360;59.2;6.84;4.95;0;52;8;1
102;4;1;360;52.7;6.48;4.5;0;52;8;1
102;9;2;165;84.5;6.28;7.25;52;52;8;1
103;6;0;360;66.1;6.8;5.45;0;32;8;1
103;5;1;360;58.9;6.4;5;0;32;8;1
103;10;2;113;90.6;6.28;7.85;32;32;8;1
104;7;0;360;72.4;6.84;5.95;0;81;8;1
104;6;1;360;65.8;6.24;5.5;0;81;8;1
104;11;2;81;97.2;6.2;8.4;81;81;8;1
105;8;0;360;79.2;6.76;6.5;203;203;8;1
105;7;1;360;71.8;6.24;6;0;203;8;1
105;0;2;360;26.4;6.6;3;0;203;9;1
106;9;0;157;85.9;6.8;7.1;31;205;8;1
106;8;1;360;77.7;6.32;6.6;174;205;8;1
106;1;2;360;33.2;6.52;3.25;0;205;9;1
107;10;0;126;92.9;6.8;7.7;126;191;8;1
107;9;1;186;83.9;6.28;7.2;65;191;8;1
107;2;2;360;39.6;6.6;3.7;0;191;9;1
108;0;0;360;26.4;6.6;3;0;34;9;1
108;10;1;121;89.5;6.28;7.9;34;34;8;1
108;3;2;360;45.8;6.48;4.2;0;34;9;1
109;1;0;360;32.7;6.64;3.2;0;87;9;1
109;11;1;87;96;6.28;8.5;87;87;8;1
109;4;2;360;52;6.56;4.7;0;87;9;1
110;2;0;360;39.6;6.68;3.65;0;0;9;0
110;0;1;360;26.4;6.6;3;0;0;9;0
110;5;2;360;58.3;6.56;5.2;0;0;9;0
111;3;0;360;46.4;6.72;4.1;0;0;9;0
111;1;1;360;32.7;6.64;3.05;0;0;9;0
111;6;2;360;65.5;6.68;5.7;0;0;9;0
112;4;0;360;53.4;6.6;4.6;0;0;9;0
112;2;1;360;39.6;6.64;3.45;0;0;9;0
112;7;2;360;71.4;6.72;6.2;0;0;9;0
113;5;0;360;59.8;6.52;5.1;0;189;9;1
113;3;1;360;46.3;6.6;3.95;0;189;9;1
113;8;2;360;77.7;6.8;6.85;189;189;9;1
114;6;0;360;66.2;6.56;5.6;0;48;9;1
114;4;1;360;52.6;6.52;4.45;0;48;9;1
114;9;2;171;83.8;6.64;7.45;48;48;9;1
115;7;0;360;72.9;6.52;6.1;0;29;9;1
115;5;1;360;58.9;6.64;4.95;0;29;9;1
115;10;2;123;90.1;6.72;8.1;29;29;9;1
116;8;0;360;79.3;6.52;6.75;205;299;9;2
116;6;1;360;65.2;6.6;5.45;0;299;9;2
116;11;2;94;97.1;6.68;8.75;94;299;9;2
117;9;0;155;85.5;6.64;7.3;46;46;9;1
117;7;1;360;71.7;6.56;5.95;0;46;9;1
117;0;2;360;26.4;6.6;3;0;46;10;1
118;10;0;109;92.4;6.76;7.95;21;205;9;1
118;8;1;360;78.3;6.52;6.5;184;205;9;1
118;1;2;360;32.7;6.64;3;0;205;10;1
119;11;0;88;99.5;6.72;8.6;88;152;9;0
119;9;1;176;85.6;6.56;7.15;64;152;9;0
119;2;2;360;39.4;6.6;3.45;0;152;10;0
